"id","X2.hydroxyglutarate..2.HG.","X2.ketohexanoate..2.KH.","X2.hydroxy.2.methylbutyrate..2H2MB.","X3.phosphoglycerate..3.PG.","X3.hydroxybutyrate..3.HB.","X4.hydroxyphenylacetate..4.HPA.","X5.hydroxyindoleacetate..5.HIAA.","Anthranilate..AA.","X2.aminoadipate..AAD.","Acetyl.coA","Aconitate","Adenosine.diphosphate","Adenosine.monophosphate..AMP.","Arginosuccinate","Adenosine.triphosphate","Biotin","Cyclic.adenosine.monophosphate..cAMP.","Cholic.acid","Citraconic.acid","Citrate","Deoxycholate..DCA.","Erythrose.4.phosphate..E4P.","Fructose.1.6.bisphosphate..Fruc.1.6.bP.","Fructose.6.phosphate","Fumarate","Glyceraldehyde.3.phosphate..G3P.","Guanidoacetate..GAA.","Glucose","Glucose.6.phosphate","Glyceraldehyde","oxidized.glutathione..GSSG.","Homocysteate..HCA.","Inosine","Isocitrate","Kynurenic.acid","Kynurenine","Lactate","Lactulose","Malate","Malonyl.coA","N.Acetyl.L.Ala","N.carbomyl.aspartate","Nicotinamide.Adenine.Dinucleotide..NAD.","reduced.nicotinamide.adenine.dinucleotide..NADH.","Nicotinamide.adenine.dinucleotide.phosphate..NADP.","Reduced.nicotinamide.adenine.dinucleotide.phosphate..NADPH.","Oxaloacetate","p.aminobenzoate..p.AB.","Phosphoenolpyruvate..PEP.","Phenylpyruvate","Pyroglutamic.acid","Pyrophosphate","Pyruvate","Riboflavin.5..monophosphate..R5.MP.","Rhamnose","S.adenosyl.L.homocysteine","Succinate","Sucralose","Taurine","Thymidine","Thiamine.pyrophosphate..TPP.","Tropisetron","Uridine.5..diphosphate..U5.dP.","UDP.N.acetyl.glucosamine","Uracil","Urate","Ureidopropionic.acid","Uridine","Xanthurenate..XAN.","Xanthosine"
"HF58.2",22.2845277372722,16.8239088134713,19.5484307778346,17.912970785012,19.0816380292036,13.0918451655396,19.2290344889018,15.8402646490997,16.6569251433946,14.0133104560993,19.2933754556706,23.9251768190045,25.7067294018891,18.7091631454867,23.86693681901,21.4603986004628,19.0232633619352,19.5264956735753,18.5305981863373,26.2999275442907,17.3945339703876,18.4127633322264,22.1380380899184,24.8925773713935,20.9836300073627,20.3616580529885,17.848445416038,11.7848465679901,25.2089817495242,14.9184484040786,23.1570975616521,19.6196770579024,23.5082439675783,19.4471579804305,14.5069155108614,13.4883636615026,27.4249946996888,17.4057694201486,24.5150074411524,13.6242746406445,18.268549081003,18.0975620442983,23.796952163437,21.2647734620088,16.6334981366544,18.877003014108,19.4126274301266,14.5542627694193,15.7334915691231,13.5569133362856,15.921265049181,21.4932025207234,15.7333887911819,20.4167246097596,17.6028917434826,16.4761180594304,24.2442686542951,13.3996192104917,26.3775148940333,20.05000027048,18.6140550753343,17.5840152099746,18.4148474336231,12.9355238123858,20.9425906066105,21.0811193176681,20.4119371335751,21.6235358895618,15.7234976236104,16.6607685531919
"HF58.3",21.8623422980716,16.3256302212279,18.9628541330565,17.7625920683156,18.5237186034716,13.8775131831741,19.3759356391669,15.1166064367543,16.6718400154602,12.8297997541255,18.8497966621523,24.131446195148,25.9695926826831,18.3927746371515,23.8911234898903,20.9752899321686,18.6814643174444,16.4311749659822,18.3287219605099,26.2063532093929,16.8758289214295,17.7620678685188,22.749187276699,23.9202218696042,21.1833926733621,20.2218927395622,16.8087353037247,11.0579769381351,24.5023546610173,14.984333415319,22.551421881875,18.5587036768198,22.335504185461,19.3669906369874,14.975739042204,13.5798042684213,27.1222285894781,16.8470737351082,24.7770127225466,11.2966732847228,18.1344382499811,18.0012592333945,24.2227144175617,21.7861006448627,16.7363794518835,19.0929145789024,19.2728211254413,14.247810935835,15.2669999546766,13.2125593504287,15.6930894437861,21.8385662923799,15.365794683158,19.7252878253217,17.4399306398127,16.3855606335258,24.4110889383086,13.7741988265705,26.2691371345755,18.8602587155852,18.6497403990278,18.3948955685001,18.8361865873523,12.7766788664155,20.2198918130883,20.1478049474183,20.3471432766638,21.1811132678889,15.4255116902034,15.9654977341864
"HF65.1",21.6630798284213,16.1257550462813,18.6476757680288,18.8544761940825,18.2999838372077,14.2417270746652,19.3967601353761,14.8434698757434,16.5424181629306,14.5728362445156,19.3537212759124,24.0496599769933,25.7814494178783,18.6197222719542,24.0978359318435,20.9917774667961,18.9776176584718,17.1300257528205,18.2920055822155,26.4972410545301,17.7141360635855,18.4896283895738,22.7516374616449,24.9570377209892,21.115598201726,20.1616525456848,17.5692126459607,12.0952955707885,25.3405761911762,15.4437087933444,22.9432704453168,18.779792470552,22.6341949704422,19.2432664441708,15.2262907260741,13.4418294037979,27.0250613450243,17.423090882722,24.6371439682112,14.1329854262979,18.2261772498112,18.2774904293127,23.6170436124587,20.9356933331096,17.086721431183,19.5808983158403,19.2295670979287,13.550545082884,15.4795011121113,12.9751884894698,15.5411358637526,21.3968215818199,15.8346776324999,20.2641120002277,17.4553053951223,16.1823069258418,23.923481319743,13.6096200241018,26.4244251731201,18.5959322725598,18.5551822994531,18.2042564223694,18.5541897245324,13.1123813650659,19.782976487571,20.8512356123066,20.3464369606114,21.1834002819689,15.1534458832923,15.695575896876
"HF65.2",21.5389406941163,16.1156055385125,19.0364280682986,18.5057349432909,18.0330327048977,13.6531239399261,19.466501057842,14.871220154316,16.233496924951,12.495901134973,18.9726318469656,23.7302781037227,25.8287085408776,18.1372792183453,23.8023883536121,20.2341484419779,17.7928126485007,15.6422225950574,18.4214825339692,26.4148182530777,16.3109843044073,18.0026111020829,22.8308181355821,24.2003396298677,20.938773568934,20.1451629967793,16.449796930118,11.8430559945535,24.8098872239875,15.2820524111096,22.2590833741398,18.4809401272328,22.5761164462529,18.7972500029143,13.9899874388495,12.6522976541798,26.8206234731522,17.260945960292,24.5540328967081,10.495714392116,17.8814271808367,17.6233062443708,23.2172557851677,20.6274457730388,16.3492848030691,18.8549697228433,19.1001346615729,13.9529928205052,15.5406554068,12.6393011310825,14.9319768266849,21.2733133182562,15.6432026371135,19.8435581481724,16.7435159678052,16.1402083599798,22.9792413947625,12.7094764245518,26.1954464436093,18.6920145778992,18.8501141111329,17.6902968014023,18.574631979222,12.4512484069317,19.8418828276499,21.2312595958134,20.0797544832952,20.5255444240735,15.2213249414465,15.3684737627108
"HF65.3",22.15318862156,16.6844749657319,19.439077894698,18.8322473323775,18.9982843386178,13.7697265356076,19.5559202511163,15.1038856153659,16.6337760887338,12.5881405997259,19.9049996375683,24.3571753538595,25.7496027391243,18.4339266959361,24.1996182989736,21.5023665402704,19.3216163758679,16.4132682947822,18.8688050081549,26.4700039575268,16.8693923460091,18.3308654324394,22.8381463907064,25.2021363280751,21.4836844890575,20.2321343701289,17.0813389357675,12.3827066308763,25.1260058209328,15.456238949556,23.620246087461,18.5297020904095,22.8556541276912,19.7561921316317,13.8598478722433,13.0719462594199,27.9978388493284,17.1943792048288,25.041288347457,11.4522688378178,18.0079805337854,18.0926368045246,23.7609757305707,20.8916913419386,17.1485134671589,19.3122394705429,19.317513000908,13.8792518412017,15.3939411930332,13.5410469154299,15.6463426901316,21.3174528491582,15.8625455730438,19.3831104495165,17.1570726852251,17.1310385024066,24.4826938127946,13.6859041755029,26.6706322802863,18.8898493720925,18.7121228270462,17.3283565521361,17.9879064823489,12.954881652706,20.6269429434616,20.4912759572107,20.5182370335233,21.6708252009387,15.496768929841,16.1379553396644
"HF67.1",21.6137662415686,16.1925633682709,18.6741177073721,19.002455499586,18.6133440613415,14.0016521149054,19.3778200337712,16.3286535382212,16.6163449027691,14.5519185207061,19.114964629771,24.0414804109941,25.9638556915397,18.149985855545,23.1824784921938,21.7575259526033,19.1936080001678,16.9954216501184,18.3118676518137,26.363620423044,15.5103719573533,18.3663977348377,22.5735879243605,25.035125481568,21.3298805920532,19.8556134645619,16.9981203925859,12.2889976724318,25.4049917491002,15.8757527038155,23.2451497240157,18.0060316808154,24.0340406278171,19.0073071977325,15.2271306335751,13.4965505657776,27.7916050824385,17.2609343180989,24.9858313689997,14.1833117177629,18.1712892887252,18.0441908260755,22.6886860011938,20.0704546180996,16.8757499898177,19.0179163099175,19.1952771742905,15.0351101384337,15.4685896397083,14.0192489230299,15.15005553898,20.9470060663433,16.2433517140733,19.6838505290388,17.8318099408514,16.8723423329598,23.9368539496791,13.4576743244474,26.6645214000525,18.7551247462283,19.1415215872524,18.0414252058554,17.65268091576,13.5582077225443,20.6594265857473,20.6603056648061,20.0438329391379,21.9322675951376,15.4253448374312,17.4253134705774
"HF67.2",21.5607881765571,15.8292889082852,18.1458546815327,18.3873893399331,18.5870154290291,13.8845141584123,19.1780710757664,16.8566560245659,16.7545838585739,14.7107374196717,19.0973574621426,23.836963192256,25.9527148878915,18.0111009236461,22.8480747190473,22.2289456287693,19.7362091896601,17.1498756827554,18.2800513304996,26.0582799915546,16.693858432106,18.1828125267939,22.9064878584759,24.9665906007717,21.6796559786879,20.2710945569322,16.8562412963186,12.3065321797943,25.0766810851369,15.8256480060104,23.3958489743589,17.5531482058106,24.9962090086746,19.1639496407564,15.9868624533201,13.1597977542213,28.1560953598525,17.4211237250434,25.0627351606589,14.5798749897212,18.2549436372846,18.1476344725441,23.1797339014108,20.5345433711504,16.5721409836115,18.8622758856439,19.0645197135166,15.6728781427197,15.1971484200064,13.1412235039205,15.2771986817659,21.4726169676979,16.1684534568859,19.722994342767,17.3631265087971,17.6088494356484,25.0087181284785,13.8586910599501,26.273794515217,19.1377810165627,18.9244885179864,17.8690838864416,17.4663730711516,12.8610630295108,21.6841641670248,21.0494810462243,20.2606318948317,22.3972020919807,15.3139672752659,18.0835934965705
"HF67.3",21.7095912798994,16.3030987448529,19.0001675680944,17.9633101803333,18.513283803428,13.8459582828183,18.8995782405366,16.3709368034452,16.6327636972595,13.7761600283498,18.1398412377054,23.3506787290957,25.9300178173012,18.7226595461265,22.5405762875439,22.0432871849001,19.6247919827939,17.2917896268607,17.8499994815757,25.8037326919942,16.9070718586558,18.5721640002584,21.9827710413732,24.5419680276822,21.3605703310283,20.9008991963322,17.2973720021329,12.1576388419044,25.2397846042692,15.3525986406417,22.7848886849028,18.1752967224591,24.4279873389355,19.0361162266289,15.3251232082562,13.1517476242863,28.0197892392998,17.4657414106589,25.064176842314,11.7627447303577,18.0950606150081,18.013819137596,24.2711308472393,21.8700174078935,16.7070989748902,19.0805662247967,19.1947066836358,14.9904218086771,15.3378169863616,13.0645573891933,15.4521425105627,21.5098177950598,15.4846369111377,20.5196661613422,17.4519542454434,17.059424237975,24.9293777236812,13.280562559456,26.2643508665537,19.0126301931321,18.5442510848392,16.2844261086111,17.8448972555476,12.8052202157987,21.236304068033,20.7478113514721,20.4166810553427,22.1903507563722,15.4698243285373,17.5009639081651
"HFHS56.1",22.0822236729886,16.5809667332652,19.4912161499397,18.0871672582245,18.4885057668384,14.4905868374016,19.4446154964327,14.9762947671043,16.8099300961999,14.5772402822827,19.3657370557299,23.5069449513646,25.5626194020216,18.7274576199501,23.9043857664144,20.3283261693734,18.0609907147121,16.0951537300699,18.4894070245226,26.3623672766103,14.0153572096032,17.9408687446419,21.874030844674,23.9381087908053,21.6213968553098,20.1019507526836,17.153954476948,11.4739428535447,24.7221851191085,15.0854818662032,22.6169158210781,17.7838733269703,22.4286771046425,19.3802430576656,15.281984230044,13.1153455174638,27.1413833543096,17.0354382611889,25.1095046818465,13.6135644592208,18.4759142416917,18.2001553351729,23.9673479084875,21.4465003492076,16.683195582914,19.1560145057953,19.1543358927271,13.6845659653011,15.3091301635836,13.8825185999302,15.5451893771238,20.9352538300609,15.8384631868274,19.5866967702561,17.589298815666,16.3095257240811,24.1599947013877,13.7080979936965,26.2844237177663,18.6358254032585,18.4791182381659,18.2656579399568,18.169315599207,13.3477548851374,20.3039771367609,21.104340131949,20.1157242807169,20.4631755807272,15.596375040126,15.77746053352
"HFHS56.2",22.2462162612489,16.7777757447675,19.7484080194586,18.2955515951227,18.9156219285192,14.5603244115749,19.1475233709596,15.9581733932067,16.8011570204573,14.1506680023452,19.8223341104923,24.2573154310237,25.3042202893063,18.5020350027981,24.3230484740468,21.0582978651372,18.9387423590569,16.2030826385718,18.7267925521603,26.0893749959196,14.5315416685218,17.8277953590796,22.4190169227418,24.2339462780619,21.6401716769091,19.857583626708,17.4857926522143,12.1353688590603,24.7955822516522,15.8866389123561,22.8473048106954,18.67151004844,24.0578120050773,19.4301465933762,14.6925267408828,13.5577913395855,28.7528960701439,17.6566409025826,25.1036203218992,13.7408496566843,18.4162770604363,18.0341323526753,24.5154567399063,22.0221292815057,16.9417088909346,19.4533053932819,19.2309024505021,14.5924097070563,15.4811741026923,14.5464158192957,15.8469505805741,20.3778424987201,15.5030781028406,18.7457681505352,17.9171129777901,17.1108731325892,24.903960361248,13.2100295296773,26.788830511743,19.1963870278559,18.6745646594993,17.9341723856213,18.0054002513496,13.1260776748334,20.785430896375,21.6907010915569,20.4858206146256,21.2335375120937,15.8817186754658,16.4846045164572
