"id","Adenosine.diphosphate.ribose..ADPr.","Adenosine.triphosphate..ATP.","cyclic.adenosine.diphosphate.ribose..cADPribose.","N.methyl.2.pyridone.5.carboxamide..Me2Py.","N.methyl.4.pyridone.5.carboxamide..Me4Py.","X1.methyl.nicotinamide..MeNAM.","nicotinic.acid..NA.","nicotinic.acid.adenine.dinucleotide..NaAD.","nicotinamide.adenine.dinucleotide..NAD.","nicotinamide.adenine.dinucleotide..NADneg.","Nicotinamide.adenine.dinucleotide.phosphate..NADP.","Reduced.nicotinamide.adenine.dinucleotide.phosphate..NADPH.","Nicotinamide.adenine.dinucleotide.phosphate..NADPneg621.","nicotinamide..NAM.","nicotinic.acid.mononucleotide..NAMN.","Nicotinic.acid.riboside..NaR.","Nicotinamide.mononucleotide..NMN.","Nicotinamide.riboside..NR."
"HF58.3",26.2788070554686,26.2214608023035,24.5882047033328,22.5212113341684,24.5952898944801,24.282672657463,19.8350701585517,25.6630315742948,29.3543832058858,20.5703705488642,22.5495064530215,25.8715693548137,20.2448963895351,25.7741050262455,17.0825298899085,19.8773980852988,22.2602668086679,17.2577065727042
"HF65.1",26.9807255802887,26.2692257293906,25.2469386916815,22.2469729264986,24.1936669488979,24.3149399039144,19.1277729999392,25.7247195538317,29.3480459470256,20.7423800200001,22.4146376818961,25.7912385855936,20.2225771155221,25.3390407539931,16.7786975271286,19.9427809437347,22.0698424481274,17.1846343512391
"HF65.2",27.1252192287987,25.2573969033782,25.3983791268784,22.024599614301,24.2467786535121,24.1947517058914,20.3513530940434,24.8018134036866,28.5847767669185,19.5508139260072,21.8536894968455,24.9470254028645,19.545492455775,26.443875800892,16.5973091401008,19.9346993068896,21.7142089103537,16.7492900757968
"HF65.3",26.7247277988414,25.4706206852544,25.026913749226,22.426461015595,24.545705931596,24.2238481999161,19.9198434755152,25.6218076209727,29.3030691093822,20.4272490496143,22.3151982917079,25.5931060360277,20.0339957107403,25.8438248290934,16.7650411164693,19.8625016951581,21.9212923481824,17.1146885454923
"HF67.2",26.5906032908695,21.9866171838965,24.5565956569925,21.1678113700454,23.0916336205365,23.7647148917442,18.3022964502036,24.8807589112335,28.600169204132,19.7389729109869,21.0606652701211,23.8582013773061,18.8069736840357,24.4895634964733,16.2408443205018,19.9206526889402,20.5428294493178,17.5682759590545
"HF67.3",27.0162110858798,25.0080434208366,25.3076046010101,22.9710619611559,25.2819224662233,24.2378911488361,20.2249951752448,25.5310050884289,29.2601256431953,20.3611438897442,22.5235503366849,25.5684392280765,20.2131537577221,26.3455468600947,16.5575017411194,19.8613766871234,21.8004651966059,17.1967000046087
"HFHS56.1",26.3167531841595,25.0728666949039,24.5493508773549,22.6809781689996,24.8110500509286,23.8713333054802,19.3282452858613,25.5613951113626,29.2186851683547,20.3325579762298,22.2502972403978,25.3561562263386,20.0082715096314,25.1486942518191,16.5388939606512,20.0218514698054,21.2771693655103,17.2940687084745
"HFHS56.2",26.3613761321519,24.2894059913344,24.5869193864466,23.1245451106968,25.4942646007462,24.0436786686747,19.9740848212462,25.4457295404876,29.146753582315,20.2222445913918,22.3357624676787,25.3446854334179,20.0337240072536,26.09512069159,16.4969170325865,19.8542302235184,21.7065311201659,17.3103076580942
"HFHS56.3",26.0868257735782,25.0533819111093,24.235530120655,22.7838548597504,25.1608139943779,23.955048376011,19.6794955937953,25.3695822473283,29.0597124456414,20.237023965028,22.2702675393065,25.4288970803602,20.0429125976496,25.5013562943102,16.9318396270657,19.9231620460819,22.2419867468684,17.0601071954038
"HFHS57.1",27.5212596747758,25.2921424356582,25.8430063749611,22.8229943839937,25.2540660796204,24.1496227916628,20.5509316649787,25.1687560727569,28.8959425982043,20.0821273326991,22.4197422185438,25.012906904572,20.0528316272739,26.9164328702784,16.7680628447888,19.938467956848,21.6669968821403,16.9254539695934
